ACCOUNT_RK;INTERNAL_ORG_ORIGINAL_RK;LOAN_AMOUNT;APPLICATION_DT
30148124;4295;8611.52;2017-01-19 00:00:00
-60273184;4295;9000.00;2017-01-19 00:00:00
30106699;35028;15000.00;2017-01-16 00:00:00
-60232326;35028;50000.00;2017-01-16 00:00:00
-60896936;50433;150000.00;2017-02-10 00:00:00
-61302598;52570;75000.00;2017-02-27 00:00:00
-60162359;46493;60000.00;2017-01-09 00:00:00
-61244102;4348;100000.00;2017-02-21 00:00:00
-61579802;58106;10000.00;2017-03-21 00:00:00
31390465;58106;10000.00;2017-03-21 00:00:00
-61337153;34867;192856.79;2017-03-01 00:00:00
-61336774;34867;200000.00;2017-03-01 00:00:00
-61408660;34867;319148.94;2017-03-01 00:00:00
